country,reference_information,examples,additional_information
China,"China uses two main address formats. The Chinese-language format is big-endian, meaning it is written from the largest geographical area to the smallest. The structure is: Province, prefecture-level city, district or county (sometimes omitted), township/town/subdistrict (often omitted), village/community (usually omitted), road name, road number, building name, floor/level, room number. As a member of the Universal Postal Union (UPU), China Post also supports an English-language format which is little-endian (smallest to largest area). The structure is: Room number, floor/level, building name, road number, road name, village/community (often omitted), township/town/subdistrict (often omitted), district/county (sometimes omitted), prefecture-level city, postcode and province, country name.","Chinese Example (Domestic):
Postcode: 350503
Address: 福建省福州市连江县丹阳镇新洋村团结路10号
Recipient: 陈立国　先生　收

English Example (International):
Mr. CHEN Liguo
No. 10 Tuanjie Road, Xinyang Village, Danyang Town
Lianjiang County, Fuzhou City
350503 FUJIAN
P.R. CHINA","Addresses written in Chinese should preferably use Simplified Chinese characters. Chinese domestic letters only support the Chinese-language, big-endian format. For these domestic letters, the postcode is written in squares in the upper left corner, and the recipient's name is followed by their title and the character '收' (receive). International letters to China support the English-language, little-endian format."
Colombia,"The address format uses a numeric format based on 'calles' which increase the number from south to north and 'carreras' which increase the number from east to west. The format consists of the Calle number, the Number of the Carrera and the house, and the City.","Calle 34 #24 – 30, Bogotá",
Croatia,"The recommended address format is: Addressee (individual or organization), Locality (if applicable and different from post office name), Floor and door (only if necessary), Street name + house number, Postal code + post office name, and Country (if sent internationally).","Hrvoje Horvat
Soblinec
1. kat, stan 2
Soblinečka ulica 1
10360 SESVETE
CROATIA","Croatia uses five-digit postal code numbers. The Croatian postal service recommends using 2-letter ISO country codes as prefixes before international and domestic postal codes, though the practice is not mandatory."
Czech Republic,"The general address format is: (Optional: Company + department), Name, Street name (or village name) + house number, Postal code + Town (or post office). For private letters, the first line is often a courtesy title (pan, paní, slečna). For mail addressed to a workplace, the order is Name then Company for private mail, and Company then Name for official mail.","První informační
Josef Novák
Brněnská 2256/16
123 07 Jitrnice","Postal codes are in the format '### ##' or 'CZ-#####' for international mail. They should be written before the town name. The house numbering system can be complex. It may use a conscription number ('čísla popisná, čp.'), an evidential number ('číslo evidenční, ev. č.'), or a dual system. In larger cities, a dual system is common, featuring a conscription number and an orientational number ('orientační číslo, č. or.') separated by a slash. The orientational number is preferred for mail services."
Denmark,"The format consists of:
Name
Street name + number + apartment floor and side (t.h./mf./t.v.) (optional)
Postal code + town","Stig Jensen
Solvej 5, 4. t.v.
5250 Odense SV","In apartment buildings, the address should contain the floor and a side indicator (t.v., mf., or t.h., meaning ""to the left"", ""in the middle"", and ""to the right"", respectively) or an alphanumeric character (1, 2, 3... or A, B, C...). For postal codes 2000 and up, there is a 1:1 relationship between the postal code and the town."
Estonia,"Name
Street + Building number + apartment number
Postal code + town
COUNTRY","Kati Kask
Aia tn 1–23
10615 Tallinn
ESTONIA",
Finland,"Company
Name or Department
Street name + number + *apartment number
Postal code + Town (uppercase)
Country (if other than Finland)","Eduskunta
Matti Mallikainen
Mannerheimintie 30 as. 1
00100 HELSINKI
Finland","If a person's name is written before the company name, that person is the recipient and only they may open the letter. If the company name is first, the company is the recipient. The apartment number can be formatted as 'as 5' (as is an abbreviation for asunto, apartment) or as 'C 55' (the letter indicates the staircase). Finland uses a five-digit postal code. Some larger companies and organizations have their own postal codes."
France,"The address is generally formatted as follows:
Line 1: Addressee (Natural person/Organization)
Line 2: More detailed description of addressee (optional)
Line 3: House number + Street name
Line 4: Postal code + uppercase location
Line 5: Country (if other than France)","Entreprise ABC
M. Frank Bender
12 rue de la Montagne
01234 EXAMPLEVILLE","The postal code always consists of five digits. The location is usually a town, but may be other territorial entities (up to a département). Organisations, government agencies, and companies which receive large amounts of mail often have a special CEDEX address which goes after the last line (for instance, ""75001 PARIS CEDEX"")."
Germany,"The address is formatted with the addressee (person or organization) on the first line, an optional detailed description on the second, the street name and number on the third, and the postal code and town on the fourth. The country is added on a final line if the mail is sent from outside Germany.","Firma ABC
Kundendienst
Hauptstr. 5
01234 Musterstadt","The postal code always has five digits. Bulk customer postal codes exist for organizations with large mail volumes and do not require a street name line. Some locations have house numbers but no street names (e.g., Baltrum), or vice versa. Post codes follow DPAG's mail routing, not administrative boundaries. Sub-building information like apartment numbers is rarely used; a name on the post box is the usual identifier. For a village within a larger municipality, the village name can be omitted or written on a separate line before the street, often with the abbreviation 'OT' for Ortsteil."
Greece,"Domestic Format:
Line 1: Recipient
Line 2: Street name + number
Line 3: Postcode + Town

International Format (to Greece):
Line 1: Recipient
Line 2: Street name + number
Line 3: COUNTRY CODE-Postcode, Town
Line 4: Country","Domestic Example:
Petros Pavlou
Doiranis 25
653 02 Kavala

---

International Example:
Apostolis Apostolou
Karkisias 6
GR-111 42 Athina
Greece","The postcode is a five-digit code. For domestic mail, a single space is placed between the third and fourth digits, and two spaces separate the postcode from the town name, which is written in capital letters. For mail sent from abroad to Greece, the postcode must be preceded by the country prefix 'GR'. The country of delivery (GREECE or GRÈCE) must be written in capital letters on the last line."
Hong Kong,"An address written in English should begin with the smallest unit and end with the largest: Name of addressee, Flat number, Floor number, Name of building, Street number and street name, Name of district, and finally the region ('Hong Kong'/'Hong Kong Island'/'H. K.', 'Kowloon'/'Kln', or 'New Territories'/'N. T.'). An address written in Chinese should begin with the largest unit and end with the smallest: Region, District, Street name and number, Building name, Floor number, Flat number, and Name of addressee. For mail from overseas, 'Hong Kong' should be added at the end of an English address, and '香港' at the beginning of a Chinese address.","English Example:
Mr. Jackie Chan
Flat 25, 12/F, Acacia Building
150 Kennedy Road
Wan Chai
Hong Kong Island

---

Chinese Example:
香港島
灣仔
堅尼地道105號
雅佳大廈12樓25室
陳港生先生","Hong Kong does not use any postal codes, though many rural properties have a property identification code (e.g., HKT-12345). The official languages are Chinese and English, and domestic mail can be written in either. While traditional Chinese characters are commonly used, simplified Chinese characters are also understood by postmen."
Hungary,"The address format is structured as follows: Addressee (name or company name), followed by the City or town, then the Street name and number (including floor/door details) or P.O. Box number, and finally the Postal code. The city/town name precedes the street address.","Kis Zoltán
Budapest
Árpád fejedelem útja 82. fszt. 2
1036","The postal code consists of four digits. Hungarian family names precede given names (e.g., in 'Kis Zoltán', 'Kis' is the family name). A district number might appear after the city/town name. Various abbreviations may be used, such as 'út', 'utca', 'krt.', 'tér' for street types, 'em.' for 'emelet' (floor), 'fszt' for 'földszint' (ground floor), and 'hrsz' for 'helyrajzi szám' (Land Registry number)."
Iceland,"The format is as follows: Line 1: Name (first name(s), last name, which is usually patronymic). Line 2: Street name and number (street address in the nominative or dative case). Line 3: Complements (e.g., flat number). Line 4: Postal code and Place (municipality, town, or rural area).","Agnes Gísladóttir
Holtsflöt 4
íbúð 202 (flat 202)
300 Akranes","There is a list of postal codes available for Iceland. The complement line, for example 'íbúð 202', specifies the flat number."
India,"Name
Door–Street Number
{Or Flat No.–Block Code: (If Have Any), Apartment Name: (If Have Any)}
Locality
Road / Street / Avenue Name
City
PIN
Country: INDIA
Mobile No.: +91 XXXXXXXXXX","Mr. Naveen Patnaik
016-46N,
Aerodrome Area,
Mango Tree Road,
Bhubaneswar, 751020
INDIA
Mobile No.: +91 XXXXXXXXXX","PIN stands for Postal Index Number. Mobile No. must contain the recipient's 10-digit contact number, excluding the country code +91."
Indonesia,"The address format is structured by address type (Residential or Business). The general format is: Recipient's name (can include salutation, position, and department for business), Company name (for business), Street name [Jl.] and number [No.] OR Housing complex/apartment name and number OR PO Box details, Neighborhood/community association [RT./RW.], Village/subdistrict [Desa/Kel.], District [Kec.], City/regency [Kota/Kab.], and Postal code. The Province [Prov.] is optional.","Budiman
Jl. Surya No. 10 RT.05/RW.02
Kel. Cempaka Putih, Kec. Cempaka Baru
Kota Jakarta Pusat 10640
---
Hendro Agiman
Perumahan Citra Harmoni Cluster Green Valley Blok A No. 6
Kel. Karang Satria Kec. Tambun Selatan
Kab. Bekasi 17510
---
Ibu Ani Wibowo
Kepala Departemen Personalia
PT Maju Jaya Abadi
Jl. Pahlawan Revolusi No. 28A
Kel. Cipete Utara, Kec. Kebayoran Baru
Kota Jakarta Selatan 12150
---
Bapak Heru Satyanto
Kepala Departemen Pemasaran
PT. Sejahtera Makmur
PO Box 1234 JKS
Jakarta 10001","The term 'Jalan' or its abbreviation 'Jl.' means 'street' and should be written before the street name. The province is an optional component of the address. Common abbreviations include: Jl. (Street), No. (Number), RT./RW. (Neighborhood/Community Association), Desa/Kel. (Village/Subdistrict), Kec. (District), Kota/Kab. (City/Regency), and Prov. (Province). For business addresses, salutations like 'Ibu' (Mrs./Ms.) or 'Bapak' (Mr.) are used. PO Box addresses include a number and a code for the post office branch."
Iran,"Iran has 4 types of standard address formats:
1. Urban: Urban Locality, Street, Premise, Province, Postcode
2. Rural: Rural Locality, Street, Premise, Province, Postcode
3. PO Box: Locality, Province, PO Box
4. Post Restante: Restante, Locality, Province, Post Office",,The addressing standard is registered and qualified by the Universal Postal Union (UPU).
Iraq,"The address format is: Name of Addressee, Name of the District, Mahla (Area) + Number, Zuqaq (Alley) + Number, Building number, Name of Province, Postal code, Country.","Ali Hassan
Al-Mansour
Mahla 609
Zuqaq 8
House no. 12
Baghdad
10013
Iraq",
Ireland,"The address format consists of the Addressee's Name, Number or name of the house and street name/townland, and the POST TOWN. For Dublin addresses, a postal district number is included. For addresses outside Dublin, the County name is added where required. The Eircode is appended to the bottom. Rural addresses are specified by county, nearest post town, and townland. Urban addresses are specified by county, city or town name, street name, and house number (or house name).","Example Dublin:
The Shelbourne Hotel
27 St Stephen's Green
Dublin
D02 H529

---

Example outside Dublin:
Lissadell House
Lissadell
Ballinfull
Co. Sligo
F91 ED70","In July 2015, the Republic of Ireland introduced Eircodes, a seven-digit alphanumeric code consisting of a 3-character routing key and a 4-character unique identifier for the property (e.g., A65 F4E2). Until the introduction of Eircodes, Dublin was the only county with postal district identifiers; these have been incorporated into the Eircode scheme (e.g., Dublin 2 is routing code D02)."
Israel,"The address format consists of three lines: Name, Street Address, and Postal Code + Town. For apartment buildings, the building number and apartment number should be separated by a '/'. For addresses with a building entrance and apartment number, the format can be 'number incl. entrance + Street name, + apartment' or 'number incl. entrance/apartment + Street name'.","Yisrael Yisraeli
16 Jaffa Street
9414219 Tel Aviv
---
Yisrael Yisraeli
16/20 Jaffa Street
9414219 Tel Aviv
---
Yisrael Yisraeli
1 B HaDoar, Apt. 20
9414219 Tel Aiv
---
Yisrael Yisraeli
1B/20 HaDoar
9414219 Tel Aviv, ISRAEL","A seven-digit postal code was introduced in 2013. This code can cover an entire locality for a small town or village. In larger cities, postal areas are divided by streets and neighborhoods."
Italy,"A domestic address in Italy is composed of three to five rows, with up to six rows for international mail. The general format is: Line 1: Addressee's name and surname or company name. Line 2 (Optional): Additional information about the addressee. Line 3 (If required): Additional information about the building (building number, floor, apartment number). Line 4: Street name and number (e.g., via, viale, corso, piazza). Line 5: Postcode + Town + Province abbreviation. Line 6 (International): Foreign State name. For Post Office Box addresses, the format is: Line 1: Recipient Name. Line 2: Name of delivery post office. Line 3: Post office box number. Line 4: Postcode + Town + Province abbreviation.","Claudio Verdi
Via Roma 35
81055 Santa Maria Capua Vetere CE

---

Claudio Verdi
Ufficio Roma Trullo
CASELLA POSTALE 14123
00149 Roma RM",The ordering of the address lines may not be changed. The province is indicated by a two-letter abbreviation after the town name.
Japan,"There are two primary formats. The Japanese format starts with the largest geographical division and proceeds to the smallest, ending with the recipient's name. The order is: Country, Prefecture, Town, chōme, banchi, building number, building name, floor number, and addressee. The Western order, written in the Latin alphabet, starts with the smallest unit and ends with the largest: Recipient, secondary unit, sub-municipal level, municipal/prefecture names, postal code, and country.","Japanese Format:
〒112-0001
東京都文京区白山4丁目3番2号
3階B号室
田中花子 様

Romanized (Japanese Order):
〒112-0001
Tōkyō-to, Bunkyō-ku, Hakusan-4-chōme, 3-ban, 2-gō,
3-kai, B-gōshitsu
Tanaka Hanako sama

English (Western Order):
Ms. Hanako Tanaka
3rd Fl. Rm. B
4-3-2 Hakusan
Bunkyō-ku, Tōkyō 112–0001
(Japan)","The postal code is prefixed with the symbol 〒 and has a 'NNN-NNNN' format. It is common to add an honorific to the recipient's name, such as 様 (sama) for an individual or 御中 (onchū) for a company. Japanese-style envelopes are vertical, with the address written top-to-bottom, right-to-left. Western-style envelopes are horizontal. Macrons (e.g., ō, ū) in Romanized addresses may be omitted."
Latvia,"There are two main address formats: Rural and Urban. Each address element should be on a separate line, starting with the most detailed.

Rural Area Format:
1. Addressee Name
2. Street Name, House Number, Flat Number or House Name
3. Village (if applicable)
4. Parish (if applicable)
5. Amalgamated Municipality
6. Postal Code

Urban Area Format:
1. Addressee Name
2. Street Name, House Number, Flat Number
3. City or Town
4. Amalgamated Municipality (if applicable)
5. Postal Code","Rural Area Example:
Andris Lapa
Liepu iela 1
Ērberģe
Mazzalves pag.
Neretas nov.
LV-5133

---

Urban Area Example:
Andris Lapa
Jelgavas iela 1–12
Aizpute
Aizputes nov.
LV-3456","The addressee's name is not mandatory. In Latvian, the name should be in the dative case (e.g., Andrim Liepam). Official salutations like 'A.god.' (for a man) or 'Ļ.cien.' (for a man or woman) can be used. The house and flat number are separated by a hyphen. It is acceptable to abbreviate parish as 'pag.' and amalgamated municipality as 'nov.'. The postal code format is two capital letters (LV) and four digits, separated by a hyphen. For international mail, the destination country must be indicated in block letters. Further reference: Latvijas Pasts."
Macao,"For domestic mail, the address can be in Portuguese or Chinese. The Portuguese format starts with the street name and ends with the area: Name of addressee, Street name, Street number, Name of building, Floor number, Flat number, Area (Península de Macau / Taipa / Coloane / Cotai). The Chinese format starts with the largest unit (area) and ends with the smallest (addressee): Area (澳門半島 / 氹仔 / 路環 / 路氹), Street name, Street number, Name of building, Floor number, Flat number, Name of addressee.","Portuguese Example:
Sr. João Kuok
Rua de Macau, n.o 1, Edifício ABC, 2 andar, moradia C,
Península de Macau

---

Chinese Example:
澳門半島
澳門街1號
ABC大廈2樓C室
郭若昂先生","Macau does not use any postal codes. For mail to Macau from overseas, 'Macau' should be added at the end of an address written in Portuguese, 'Macao' at the end of an address written in English, and '澳門' at the beginning of an address written in Chinese. While traditional Chinese characters are commonly used, simplified Chinese characters are also understood by postmen."
Malaysia,"Pos Malaysia recommends different formats for residential, business, and P.O. Box addresses. 
Residential: Salutation, Name of recipient, Unit number, Street name, Residential area, Postcode, Post office/Mail centre, State (optional), Country. 
Business: Salutation, Name of recipient, Name of Position & Department (if applicable), Company name, Unit/Lot number, Building name/Commercial area, Lot number (for building), Street name, Postcode, Post office/Mail centre, State (optional), Country. 
Business + P.O. Box: Salutation, Name of recipient, Name of Position & Department (if applicable), Company name, Unit/Lot number, Building name/Commercial area, Lot number (for building), Street name, Postcode, Post office/Mail centre, P.O. Box number, Postcode of P.O. Box, Post office/Mail centre of P.O. Box, Country.","Residential Example:
Mr. Zack Ahmad
11 Jalan Budi 1
Taman Budiman
42700
BANTING
SELANGOR
MALAYSIA

---

Business Example:
Dato' S.M. Nasrudin
Managing Director
Capital Shipping Bhd.
Lot 323, 1st Floor, Bintang Commercial Centre
29 Jalan Sekilau
81300
JOHOR BAHRU
JOHOR
MALAYSIA

---

Business + Post Office Box Example:
Ms. Jenny Chan
COO
Target Insurance Brokers
Level 2, Principal Towers
11 Jalan Sultan Ismail
50250
KUALA LUMPUR
P.O. BOX 10073
50704
KUALA LUMPUR
MALAYSIA","The country line 'MALAYSIA' is omitted when mailing from within Malaysia. The State line is strictly optional. The Post office/Mail centre field is the name of the town/city whose post office jurisdiction covers the address and should be written in block letters. The postcode is always a 5-digit format. Pos Malaysia allows P.O. Box usage for both residential and business addresses. When a P.O. Box is used, its postcode and post office/mail centre must be on the last line of the address. If both the original and P.O. Box postcodes are present, mail will be sent to the P.O. Box on the first attempt."
Mexico,"The address format varies by type (Personal, Business, etc.). The general structure for a personal address is: Recipient's Name, Street Type and Name + Number, Settlement Type and Name, Postal Code + Locality (Optional), Municipality, Federal Entity. Business addresses may include the company name and an optional department/position. PO Box (Apartado Postal), Lista de Correos, or Poste Restante formats include the delivery method and postal administration details.","Personal:
Alejandro Ramírez
C. Francisco I. Madero No. 115
Col. Nuevo Casas Grandes Centro
31700 Nuevo Casas Grandes, Chih.

---

Business:
Ing. Juan Rodríguez Altamirano
Farmacéutica Altamirano
Av. Durango No. 264 Int. 1
Col. Primer Cuadro
81200 Los Mochis, Ahome, Sin.

---

Apartado Postal:
Daniel González Ortiz
Apartado Postal A44
Administración Postal
Calvillo
20801 Calvillo, Ags.

---

Lista de Correos:
Esteban Martínez Hernández
Lista de Correos
Administración Postal
Esperanza
85211 Cajeme, Son.

---

Poste Restante:
Esperanza Rodríguez Domínguez
Poste Restante
Administración Postal
Bermejillo
35231 Mapimí, Dgo.","The formats are recommended by Correos de México. The 'Locality' is an optional component in the last line of the address. For business addresses, including the recipient's department or position is also optional. The text provides distinct formats for 'Apartado Postal' (PO Box), 'Lista de Correos', and 'Poste Restante'."
Netherlands,"The address is formatted as follows: Name, optional Businesspark name, Street + number or Postbus (P.O.Box number), Postal code + town, and an optional Country line.","Jan Jansen
Boschdijk 1092
5627 BX EINDHOVEN
NETHERLANDS","The postal code is a unique street identifier, consisting of four numbers followed by a space and two capital letters. PostNL recommends putting two spaces between the postal code and the town, and writing the town name in capitals. A shortened format using only the postal code and the number (e.g., '5627 BX 1092') is also acceptable. The street name line can be replaced with a PO box ('postbus') or a freepost number ('antwoordnummer'), which have their own postal codes."
New Zealand,"Recipient name
Flat number/House number Street address
or
PO Box number
Suburb
or
RD Number
or
PO Box lobby name (if not the same as the town/city)
Town/City Postcode","Mr John Smith
43 Vogel Street
Roslyn
Palmerston North 4414","No space or full stops should be used between P and O in PO Box or R and D in RD. Use only one space between the town/city and the postcode. For the Wellington metropolitan area, users should use the specific city name (i.e. Wellington, Lower Hutt, Upper Hutt, Porirua), not the metropolitan area name. An anomaly is the Wellington Mail Centre, which is addressed as 'Wellington Mail Centre, Lower Hutt 5045'."
Norway,The address is formatted in three lines. Line 1: Recipient (Person or Entity). Line 2: Street Name + Number. Line 3: Postal Code + Postal Town. The recipient's name must be on the mailbox for delivery. Flat or floor numbers are not part of the official postal address.,"Kari Normann
Storgata 81A
6415 Molde","The postal code is mandatory and always consists of four digits. If a PO box is used (e.g., Postboks 250 Sentrum), it replaces the 'Street name + Number' line. PO box addresses have postal codes that differ from those for street addresses. For areas without street names, a local designation determined by the Norwegian postal service replaces the street address line."
Oman,"The address format is: Name, Street number + house number, Block number, Area, City.","Name
Way 2259, 2919
Block 222
Murtafaat Al Qurm
Muscat","Physical addresses only exist in major urban centers like those of Greater Muscat, Sohar, Salalah, Sur and Nizwa."
Pakistan,"Name
Street Number, Street Name
Union Council, Town
CITY NAME
District Name
Postal Code (PIN)
Province","Muhammad Abdullah Umar
15, M. A. Jinnah Road
Kharadar, Saddar
Karachi
Karachi District
457700
Sindh",The postal code is also referred to as PIN.
