row_id,Town Name,Postal Code,Remaining Address,Country Code (2 characters)
53,Victoria,V8V 2G9,"332 Menzies Street, , BC",CA
54,Montreal,H3Z 2Y7,123 Main St SE\n QC,CA
55,Montréal,H3Z 2Y7,123 Main St SE QC,CA
56,Montréal,,LaSalle QC,CA
57,Montreal,,LaSalle QC,CA
58,Kingston,,"237 Old Hope Road, 6, Jamaica W.I",
59,Kingston,,"16 1/2 Windward Road, 2, Jamaica",
60,Kingston,,"16½ Windward Road 2 Jamaica, West Indies",
61,London,EC2A 4RH,"The Book Club 100-106 Leonard St, Shoreditch, , Greater , England, , United Kingdom",GB
62,London,EC2A 4RH,The Book Club 100-106 Leonard St Shoreditch United Kingdom,GB
63,London,N3 1LF,"Aston House, Cornwall Avenue, ",GB
64,London,N1 2XQ,318 Upper Street,GB
65,London,SW2 4JE,"21, Kingswood Road ",GB
66,Liverpool,L3 4EN,"1 Riverside Dr , Merseyside",GB
67,Knutsford,WA16 9EX,"Stocks Ln, , Cheshire East , UK",
68,London,WC2E 9DD,"Royal Opera House, Bow St, Covent Garden, , , United Kingdom",GB
69,Middlesbrough,TS4 2HT,"1A Egmont Road, ",GB
70,Middlesbrough,TS4 2HT,"0 Egmont Road, ",GB
71,Newbury,RG14 7QS,"-1 Priory Road, ",GB
72,Hull,HU5 2RD,"Idas Court, 4-6 Princes Road, ",GB
73,London,EC1N 8QX,"Flat 14, Ziggurat Building, 60-66 Saffron Hill, , , United Kingdom",GB
74,London,EC1N 8FH,"Flat 18, Da Vinci House, 44 Saffron Hill, , , United Kingdom",GB
75,South Ockendon,RM15 5EE,"22B Derwent Parade, , United Kingdom",GB
76,Canterbury,CT2 7EP,"Unit 26 Roper Close, ",GB
77,Lowestoft,NR32 1HH,"Lorem House, The Marina, , United Kingdom",GB
78,Bedford,MK42 0XE,"St Johns Centre, Rope Walk, , shire, , United Kingdom",GB
79,Bedford,MK42 0XE,"St Johns Centre, 8 Rope Walk, , shire, , United Kingdom",GB
80,Manchester,M1 5QF,"Studio J, 4th Floor,,8 Lower Ormond St, , United Kingdom",GB
81,,ST6 6BD,"Victoria Institute, The Blvd, , United Kingdom",GB
82,Eastbourne,BN23 6QD,"29 Lottbridge Drove, , East Sussex",GB
83,Stoke-on-Trent,, United Kingdom,GB
84,Loughborough,LE11 5BG,"The Rushes, , Leicestershire , United Kingdom",GB
85,Loughborough,LE11 1BT,"The Old Manor, 11-12 Sparrow Hill, , United Kingdom",GB
86,Hinckley,LE10 1RD,"Stockwell Head, , United Kingdom",GB
87,Eastbourne,BN23 6QD,"Admiral Retail Park Lottbridge Drove, , East Sussex",GB
88,Bishop Auckland,DL14 7JQ,"12 Newgate Shopping Centre, George St, , Co. Durham",GB
89,Caerphilly,CF83 1NY,Castle Court Shopping Centre Castle Street,GB
90,Douglas,IM99 1JJ,"Lloyds Bank International Limited, PO Box 111, Peveril Buildings, Peveril Square, , Isle of Man",
91,wellington,,new zealand,NZ
92,Chambéry,,,FR
93,Chambery,,,FR
94,Paris,, France,FR
95,Paris,,,FR
96,Paris,, FR,FR
97,Paris,,IXe arrondissement,FR
98,Paris,,9e arrondissement,FR
99,Madrid,28014,"Museo del Prado C. de Ruiz de Alarcón, 23 , España",ES
